	id	size	size	sex	height	weight	x2d	y2d	x3d	y3d	z3d
8584	522	1	0.0	M			0.480647	0.834346	-91.21108214872886	-76.15413048968732	-26.914542416330768
6906	523	2	0.034483	M	183	87.0	0.663083	0.760269	18.717547962256464	19.439742823714184	-37.832733712040216
5398	526	1	0.0	M	187	77.0	0.603787	0.740722	12.476308859982609	44.619087242240624	-25.92899526423467
313	529	1	0.0	M			0.516165	0.554457	13.307527222180674	28.200251118652716	-19.370245263389943
5399	530	1	0.0	M	185	81.0	0.600819	0.737976	14.119973730048244	0.6498994157192941	22.773846610665938
14530	532	8	0.241379	M	176	82.0	0.082339	0.348942	-78.40748960249088	-70.41709019053758	-27.697113403107863
14531	534	3	0.068966	M	180	82.0	0.866171	0.739214	-91.36039770080261	-90.99571481540693	-21.35726405005987
15977	535	9	0.275862	M	181	80.0	0.346048	0.100143	-54.88290493109607	-10.138869250805215	14.892378977711637
10878	539	2	0.034483	M	181	84.0	0.166475	0.34517	-80.26746259654213	-54.16892610873943	34.712912200425265
10879	544	1	0.0	M	180	94.0	0.668447	0.814577	-77.8909120786528	-54.12126013021461	36.54170178201756
14532	548	4	0.103448	F	167	65.0	0.081343	0.570162	-20.846962643240595	-48.883578695037	-3.912267725275136
14533	549	2	0.034483	M	180	72.0	0.818383	0.27261	91.5308289834684	-84.15583729382865	70.97283066355277
15978	550	2	0.034483	M	182	96.0	0.661538	0.112607	24.437246397844525	-14.761050123218887	66.16569282800221
10880	559	1	0.0	F			0.819908	0.672718	-52.173826068685436	56.32982966423722	50.729014448265055
10881	561	2	0.034483	M	184	73.0	0.464195	0.861011	-62.762824134416796	22.512932973844748	58.234972269421206
9567	562	6	0.172414	M	183	84.0	0.165766	0.675969	50.484504641342575	-24.866684878745076	-0.8707227508787637
13137	586	1	0.0	M	178	85.0	0.741792	0.823655	85.16615761049783	-65.10808391438813	38.70590876966846
13138	588	1	0.0	M	179	68.0	0.88409	0.619089	89.7330433698505	-64.71722112089331	44.52360954421693
10882	633	2	0.034483	F	170	62.0	0.300933	0.201158	48.183208107232	-0.33898521674339577	-0.027005350572050446
8585	634	17	0.551724	M	176	82.0	0.164254	0.378389	-87.91617822728692	-66.01221619634714	-22.981995988654973
1482	665	1	0.0	M			0.52702	0.378451	-94.94797863649879	-77.0822872409615	-28.834273661101413
15979	671	2	0.034483	M	168	60.0	0.099378	0.335637	-92.75764339503547	-76.73909042599152	-24.845362468145254
17405	679	2	0.034483	M	183	87.0	0.04333	0.457902	-76.4153562991522	-48.96677370286424	-9.570686810550798
3747	680	3	0.068966	F	168	63.0	0.728642	0.510028	-92.50757283937465	-91.90896785725654	-37.23961123044631
11745	702	8	0.241379	M	184	69.0	0.452158	0.900855	4.400735402505971	13.482880729454642	-33.95034188623564
8586	705	5	0.137931	M	190	99.0	0.637629	0.197154	-7.357619574867421	3.8993703630068106	-17.05777452741028
10883	706	3	0.068966	M	200	104.0	0.651512	0.16863	-62.86855938680332	23.667146451666614	42.460340603901265
3266	735	1	0.0	M			0.650198	0.636327	-61.26109743423458	23.542399537408688	50.45401126446522
14534	736	4	0.103448	F	168	63.0	0.215864	0.205827	-51.99939676264604	0.8116784129733148	28.503434769653854
708	746	2	0.034483	M	156	56.0	0.457905	0.567375	-95.65531002794245	-81.48046898370137	0.49104776010082984
17406	753	2	0.034483	F	156	51.0	0.600962	0.955415	-94.00829244826954	-72.75717620797872	-15.440561263140161
13139	770	1	0.0	M	182	82.0	0.656174	0.146722	54.56838382697488	-12.104889640448613	42.13340874905063
14535	772	1	0.0	M	175	95.0	0.909088	0.577709	54.38261237603399	-11.464078224972798	44.45117444868056
9568	792	9	0.275862	F	173	62.0	0.518574	0.145699	-51.080246253198645	4.170795422260982	9.274171265011109
7635	794	3	0.068966	M	176	74.0	0.66262	0.788734	-77.04179658431327	-26.382213340933646	38.268906610657005
314	802	1	0.0	M	177	70.0	0.519592	0.54708	-76.7077272761976	-26.237394223583266	39.31126142118435
1483	810	1	0.0	F			0.617261	0.573765	12.614904712604293	45.39087300096083	-34.61166059904822
17407	840	1	0.0	F	164	69.0	0.94537	0.609134	12.429946941719464	46.66469881132615	-32.00488073759718
8587	892	12	0.37931	M	185	75.0	0.194966	0.689408	56.83899952960645	-26.635649413264762	23.008218813059127
10884	893	1	0.0	F	170	60.0	0.142035	0.585685	86.2409607673147	-59.320171664199044	37.45751464695854
3748	904	2	0.034483	F	163	52.0	0.713244	0.496406	87.24316869166174	-58.88571431214791	40.58457907854058
17408	911	4	0.103448	M	178	65.0	0.892741	0.777258	-47.94443307840153	-61.53021027765783	-15.612670389190837
6085	938	3	0.068966	M	173	74.0	0.245708	0.389753	3.4617258641063486	2.4103933309188577	27.016890519280654
15980	956	2	0.034483	M	190	110.0	0.64279	0.104879	-1.7569085099019874	83.81593449377954	-26.42758441588615
1	992	1	0.0	M			0.490761	0.536585	0.4200711622429907	84.55215105669087	-21.890332849153292
3749	993	2	0.034483	F	165	56.0	0.353218	0.349045	-46.14594397253158	12.181135106037459	-28.47466751196513
2098	995	1	0.0	M			0.579293	0.635912	-91.73720203073769	-59.54485162839987	-31.097997142751638
6907	998	6	0.172414	M	180	77.0	0.414588	0.223671	-64.50785416979059	-20.761139384582687	11.641834269439101
6086	999	2	0.034483	M	180	74.0	0.44154	0.249436	-34.56382866711448	-7.845880696174502	6.280716726791194
4562	1026	1	0.0	M	173	72.0	0.285038	0.408661	-79.32566393121391	-33.08210270287374	16.057470279000448
13140	1034	1	0.0	F	160	55.0	0.592326	0.89181	-78.13738867226925	-33.05826971361134	16.9718650697966
13141	1040	1	0.0	M	180	98.0	0.623699	0.134755	-83.07707483904488	-33.145804650074666	15.343037444420819
13142	1044	2	0.034483	M	186	85.0	0.691253	0.862632	-78.91811143273853	-33.06238918765622	18.543419212207333
14536	1045	1	0.0	M	180	95.0	0.62836	0.118571	-79.53338424954569	-27.83486100550615	13.405765470984171
17409	1053	7	0.206897	M	177	80.0	0.064752	0.331831	-91.64546458927514	-55.24179654155362	-16.708269262603448
17410	1055	1	0.0	F	162	51.0	0.858618	0.779916	-91.44103371963679	-56.19155266150978	-35.143297141149446
13143	1062	1	0.0	M	186	86.0	0.688735	0.856538	5.8942026002452685	19.36471087374219	-71.56533725174621
5400	1063	1	0.0	M	186	86.0	0.621599	0.72929	-63.407472259093396	14.562024637432426	52.93347158358242
2	1077	3	0.068966	M			0.495511	0.515665	-13.010473481650456	39.28736676686136	-16.04928436010913
17411	1081	2	0.034483	F	168	58.0	0.235548	0.141624	-92.62373547428132	-93.39167598888528	-18.04866650071921
13144	1085	3	0.068966	M	183	88.0	0.707028	0.865735	-91.29463972967274	-93.08945106832842	-16.30448408713593
3750	1106	3	0.068966	M			0.2974	0.445562	-62.37497731308374	-36.168692792208816	-20.54015965711857
17412	1111	2	0.034483	F	171		0.940769	0.662695	-42.64967802373805	-0.9870628772842416	-29.92520587287451
14537	1115	1	0.0	F	158	51.0	0.876827	0.68599	12.985099435859325	33.80494061553987	-17.566917971249254
6087	1119	2	0.034483	M			0.583515	0.256361	4.032520430679924	-8.081761044980645	20.603501112380027
2645	1127	2	0.034483	M	178	73.0	0.616364	0.664323	-35.60695876501589	-43.52870776513074	25.994294364284112
709	1138	1	0.0	M	166	72.0	0.55441	0.483083	-94.25884210382647	-79.3569823134794	16.754770963449825
3267	1150	1	0.0	M			0.446288	0.320897	11.804489622732046	59.8173307795242	-57.911967682003414
10885	1171	1	0.0	M	175	75.0	0.734404	0.780838	12.012762721456149	55.34545953898535	-53.62724296070952
2099	1172	6	0.172414	F			0.381992	0.386441	-52.58778234842102	12.326666638147117	-33.72955462713734
14538	1181	3	0.068966	F	168	67.0	0.624786	0.919811	-47.90097060855589	27.665614582968487	14.003510146183393
14539	1188	2	0.034483	M	178	75.0	0.902244	0.657171	12.956354165303086	32.05938251390653	-1.6093070634224915
3751	1193	2	0.034483	M			0.554977	0.305075	-58.48010773842195	-7.8954903251736335	-1.8221182735008625
17413	1200	2	0.034483	F	166	52.0	0.959402	0.45406	-42.75164982208001	9.390348503144395	-31.613109042782735
13145	1267	1	0.0	M	175	77.0	0.679206	0.159181	-96.14671782305793	-39.8588363504121	-32.223407227185774
14540	1280	1	0.0	M	182	78.0	0.08931	0.422412	-94.95844256411326	-39.83500336114969	-31.30901243638963
14541	1291	1	0.0	M	183	68.0	0.203826	0.802585	-97.52046864928674	-39.011670871511605	-30.714940259507955
5401	1322	1	0.0	M	175	73.0	0.58243	0.74281	-96.33219339034207	-38.987837882249195	-29.80054546871181
7636	1325	1	0.0	M	183	73.0	0.470673	0.81156	-95.1439181313974	-38.96400489298678	-28.886150677915666
5402	1336	2	0.034483	M	179	78.0	0.613751	0.753443	5.1399467216314	31.984715365941092	-79.17648116475004
11746	1340	2	0.034483	F	177	75.0	0.57477	0.883534	-4.693485051587168	59.31844064916402	-40.472842629141944
3	1341	1	0.0	M			0.517341	0.508811	-14.319811832523282	84.7858703164752	-2.0196634098285546
7637	1342	1	0.0	M	182	90.0	0.627714	0.786324	-59.165275168752345	-2.17019850113051	19.140614209540946
2100	1358	2	0.034483	F			0.40929	0.382328	-50.563528308703	37.55144955828346	24.39864222250756
9569	1422	11	0.344828	M	178	70.0	0.73459	0.241131	-6.424113987453087	7.44380492120815	-18.285968045363127
7638	1423	1	0.0	M	174	77.0	0.698231	0.747848	12.598367123038521	41.124125679179436	-37.946027758337635
6088	1432	1	0.0	M	178	82.0	0.68179	0.708367	-96.44574323540594	-34.49739129596051	-29.426544285580796
10886	1435	17	0.551724	M	184	66.0	0.297117	0.849962	-27.364384759394238	23.12508111933193	23.53326080590123
13146	1437	1	0.0	F	173	61.0	0.601111	0.891155	56.247549994887365	-38.346462386400965	-30.673273259963352
2101	1450	2	0.034483	M			0.550257	0.349275	54.46513710647035	-38.38221187029458	-32.04486544615757
14542	1455	2	0.034483	F	162	54.0	0.242757	0.182775	54.87305945951667	-38.0747645392182	-29.427546439395638
904	1469	1	0.0	M			0.524622	0.431262	54.74148936355243	-36.54317727672864	-30.162021490749993
8588	1486	2	0.034483	F	166	63.0	0.305694	0.245014	54.686622270348096	-37.95187399228835	-27.3462468721648
11747	1495	2	0.034483	M	183	86.0	0.750067	0.80157	55.121941184539494	-36.968851685017995	-26.149952182050967
3752	1496	4	0.103448	M	170	72.0	0.381377	0.695669	54.06415753280862	-37.066599315208364	-23.623851654355516
15981	1501	1	0.0	F	170	61.0	0.84962	0.768012	5.313066345067686	24.098261628344083	-64.37504482376553
1484	1508	1	0.0	M			0.535455	0.372166	-61.85175117862502	2.4194819627617434	14.77922411943777
1485	1509	1	0.0	M			0.536186	0.375295	-62.03973071670214	3.30820960274748	17.190625770272025
7639	1524	4	0.103448	M			0.207277	0.380615	-86.64871345081032	-53.784932608365445	1.4323601261348688
7640	1528	5	0.137931	M			0.197125	0.36428	7.180484996819194	5.136584587890203	-10.03064105948396
6908	1542	2	0.034483	M	169	63.0	0.346715	0.751155	53.708368472834366	-20.616384042313356	11.500735385788023
5403	1580	1	0.0	F	150	52.0	0.754993	0.519309	-5.833259780802049	70.2673677265521	-28.937858609162134
9570	1581	2	0.034483	M	169	64.0	0.406618	0.845789	-61.07223784582524	-3.88875442392584	1.986104514377178
3268	1586	1	0.0	M	180	77.0	0.612839	0.671561	-92.48682402616585	-70.80691030275796	-32.057402494738966
4563	1607	4	0.103448	M	185	80.0	0.694034	0.382086	-91.94635161335228	-70.90977073093632	-29.669253102822317
